지하철역,time_04_05,time_05_06,time_06_07,time_07_08,time_08_09,time_09_10,time_10_11,time_11_12,time_12_13,time_13_14,time_14_15,time_15_16,time_16_17,time_17_18,time_18_19,time_19_20,time_20_21,time_21_22,time_22_23,time_23_24,time_00_01,time_01_02,time_02_03,time_03_04
신논현,374,72491,316552,823465,1481152,1388992,830015,733306,786192,910290,887837,941674,1083314,1473386,2211783,1541190,971691,959000,818650,387299,36067,1962,2,1
신답,17,12308,26094,77243,129256,54623,32937,31997,34515,36193,36189,43183,50439,64984,123944,88580,40944,42852,31493,21264,1809,8,0,0
신당,2086,186104,344878,701853,1402267,890726,613126,588046,616157,638630,649507,676768,778315,955943,1303588,959177,629023,543580,470027,328961,31477,122,3,0
신대방,1514,307379,508821,1177033,1808743,1114727,660270,567899,606350,627524,618713,712800,805302,1053370,1505192,1175806,793055,798530,691027,398059,30467,498,3,0
신대방삼거리,186,129015,272080,686924,1227613,673763,398674,355967,383874,393294,392376,427986,489862,618747,996249,727278,459091,403523,338108,203060,26119,73,5,1
신도림,46287,495871,810697,2085357,3084996,1869570,1376138,1282056,1415739,1508623,1481400,1598927,1799650,2368398,3586903,2458366,1641860,1530660,1240374,737308,192284,8643,72,0
신둔도예촌,5,6775,23026,64239,71582,35753,27974,27576,30355,28339,26021,29358,37724,61844,61771,49575,31111,29961,19415,14510,2,0,0,0
신림,3548,510421,1099531,2656889,4135301,2648317,1539678,1361260,1481743,1554242,1563045,1729133,1969752,2514870,3775754,3194940,2128806,2022918,1747445,1103538,94648,1282,4,0
신목동,10,22037,82033,224069,244303,118426,74092,75454,82574,86477,80073,84496,108393,140528,213291,158400,91447,89303,80614,44890,5287,285,0,0
신반포,5,8546,54343,115294,163950,103922,72757,62790,70182,85998,80101,97228,112273,137582,167215,108761,65758,59784,48455,25701,2042,2,0,0
신방화,58,58146,149863,337292,393128,215823,158338,156119,176544,179093,169741,205036,212910,245688,368559,294582,183822,164089,138319,79385,8861,55,0,0
신사,739,56629,285296,602303,1450838,1647373,911432,736985,793176,899129,958955,1016375,1119566,1485328,2267265,1531499,914289,896260,696548,287622,20680,65,1,0
신설동,4126,168447,256910,612420,1379684,834861,565065,576539,595423,647356,645633,681395,737237,954266,1303451,646105,403101,363595,278004,151862,21696,643,5,1
신용산,54,27173,180444,465145,1205959,756343,364802,326461,330994,374013,376323,419174,498445,764726,1265408,645888,410634,340853,230763,100857,6172,45,5,0
신원,1,1130,3895,9275,9329,10054,10369,9876,8225,9041,10475,12388,11549,10194,10746,4913,3476,2555,1494,884,366,1,0,0
신이문,16394,111686,183528,456209,529636,293508,223435,209155,220208,228287,219629,251568,271939,323897,449906,368436,223960,186219,160879,94203,15224,29,0,0
신정(은행정),486,134256,290393,780684,1036234,493346,281541,251282,266087,272178,262110,293031,339679,435312,667926,501561,312055,283472,247649,145962,12537,47,0,0
신정네거리,744,104890,228396,526783,568959,323888,228864,222454,239343,245566,239846,269707,327490,423324,597582,451272,264557,221068,190617,112832,15347,682,2,0
신중동,63,82638,241122,652909,969618,521701,331176,299502,325869,348107,342338,368328,420609,557618,945567,687928,445558,324229,275508,174526,18497,42,0,0
신창(순천향대),3018,6300,15479,40698,65789,38794,37841,44190,50131,43379,52443,51648,55234,61192,68544,38947,34086,29282,27359,16892,2069,2,0,0
신촌,862,112709,326190,784005,1436708,1408311,985126,992940,1149167,1286961,1212381,1244675,1386124,1785738,2194475,1546303,1160641,1101024,1040121,531201,40076,340,7,0
신포,38,13287,24351,61029,111034,46633,40316,46028,52301,57182,55972,61102,71425,82313,116074,53760,40150,34412,24301,12467,2460,0,0,0
신풍,723,133198,243962,525393,754591,423261,269722,241964,260918,273260,260011,295130,347670,472062,644480,455245,280462,268130,218219,116020,23176,1453,2,0
신흥,2,52785,93885,173183,247349,161575,127051,123018,133882,144349,155226,168084,189694,207464,268327,206615,140697,122738,93298,52645,8597,561,0,0
쌍문,1155,265280,688077,1541933,1814019,1091863,758104,672431,715616,716090,709470,784242,901334,1098634,1559095,1410114,876763,745141,633313,386361,41333,153,1,1
쌍용(나사렛대),806,22459,42886,87536,86904,56625,46563,48516,59107,53948,52811,58538,54540,84310,91133,70818,52086,41781,31332,26385,2789,3,0,0
아산,499,13658,42240,108056,103286,74696,71947,65752,88742,80435,81290,102024,83319,120018,144625,116230,75728,75172,48285,34634,2539,2,0,0
아신,67,4671,10892,26465,24500,22320,21159,21910,19189,20260,21754,22086,21563,29676,26017,19227,12092,14047,8898,6568,2737,2,0,0
아차산(어린이대공원후문),31,110951,237420,577162,905088,542615,412650,375335,407950,433114,430528,462007,518392,615087,845950,620120,384871,336615,275111,147999,15188,47,0,0
아현,193,63914,193724,400401,597597,360540,258463,245406,267899,278627,284242,316740,355985,425073,537529,387310,252306,228392,185697,109058,8957,153,13,1
안국,190,37962,252313,1050279,1208179,701074,469440,495173,516789,563623,595327,621127,690146,1250723,1394408,592200,419769,366472,227355,80497,5749,20,8,0
안산,18450,136881,317292,654961,585873,329112,283755,293303,318766,329234,327873,354255,397189,676388,759949,487403,394071,292293,165093,77556,26997,1041,367,345
안암(고대병원앞),326,31540,96622,246023,485966,421298,303466,274864,293688,331478,314786,332895,378004,527844,545290,365672,266874,271718,266072,174298,23473,474,1,0
안양,3596,203730,469011,1040978,1129064,735104,546981,554259,637075,658519,641257,684508,802353,1005740,1306931,1050209,672174,614022,479023,284886,33403,14,4,3
암사,248,165126,342814,946624,1326979,703040,404804,381535,416449,424098,415805,462406,518714,672043,1033167,785946,470294,434442,339839,191994,30877,2354,19,0
압구정,553,57662,331670,667918,1822689,1927168,1012804,892533,851304,959886,997962,1040440,1131481,1452129,2112184,1468962,1007394,724155,515915,172649,25723,864,8,0
압구정로데오,1523,28693,149678,296068,835469,1108741,586898,449553,458153,489100,509110,553025,629389,884277,1284104,924099,660595,443726,316378,112629,7911,12,0,0
애오개,126,28858,94337,291782,602153,269384,159008,149746,154271,174180,172844,192732,194475,272460,502729,249711,157897,137793,116146,61031,22065,1062,5,0
야당,222,46814,162274,299338,281210,168891,128096,129144,137509,134840,141356,155396,172376,248306,305863,267954,184315,160977,138421,70682,33848,13,0,0
야탑,1848,114797,362290,971346,1693744,992758,658844,652878,713449,744812,760670,786441,900301,1146152,1685741,1108658,721100,626905,501961,251908,31468,20,0,1
약수,1330,95555,222716,524871,1065717,672483,450126,428390,453790,478912,485329,510954,575701,728636,1045766,655662,448990,420628,336074,179174,36307,1705,7,0
양수,5,11145,31084,86396,72166,76941,76113,74066,72404,79412,81936,83367,95440,94083,84420,63055,57957,35776,31450,12756,5852,2,0,0
양원,392,20269,49784,115381,90574,51261,45061,41938,42006,47763,45718,62610,71447,66905,69867,48486,32719,21909,20102,10244,2030,0,0,0
양재(서초구청),1157,86459,572719,1485494,3173449,1723694,891967,797464,796686,927018,902931,984254,1118174,1829875,3037844,1621346,1010189,912099,648134,260959,27187,107,6,1
양정,1036,6560,19283,49264,53934,28087,22233,23170,20401,22285,22827,23157,31003,44866,51536,27806,14163,11502,8094,4355,1840,0,0,0
양주,17306,77059,195226,466043,417702,259631,213107,212974,217664,205913,201041,216731,254618,293853,398987,316928,211709,164034,134388,82035,33552,4,0,0
양천구청,175,61234,143677,396393,409882,228081,155710,148647,165886,173870,161503,177248,205138,270917,408191,318761,185130,162746,140827,94625,15270,140,3,0
양천향교,29,57288,157677,401942,675294,324175,196778,193112,219981,214651,226225,236047,268679,366491,593428,394078,247761,209000,181169,115835,10912,53,0,0
양평,581,46372,156924,442440,830441,380291,246860,237225,247845,247574,259118,279175,284863,409393,715607,378155,236959,196243,161561,99629,17052,27,0,0
어린이대공원(세종대),117,51932,181675,336795,764564,482332,299868,276819,316772,348643,338511,372289,428050,562007,675239,451720,304356,295018,271204,161646,15873,73,0,0
언주,51,25491,111977,249928,670678,510188,269174,201998,213794,235082,238723,253075,289379,455358,687588,385055,221895,196958,140844,65205,7222,230,1,0
여의나루,90,27331,157371,366673,716643,218616,114370,123673,151119,189620,225093,268844,338428,545640,745981,382488,274138,244337,185164,72037,6013,18,1,0
여의도,129,99727,597117,2901453,4183962,1647666,732841,806917,771045,894912,868673,963597,1186822,2836480,3907149,1639032,1048672,952031,619084,223996,42185,670,13,0
여주,59,11064,33874,75833,81056,70403,59708,63624,71511,68025,73462,76899,94367,86157,80578,91529,62576,37400,30737,25024,9098,0,0,0
역곡,10067,341856,616780,1490697,1598105,912258,637146,614883,673387,673265,656397,688466,860599,1094068,1618641,1339282,824959,727540,611669,357664,49966,69,0,0
역삼,685,132098,582922,1514369,3883246,3194314,1352714,993029,976032,1147113,1149891,1276370,1450379,2474003,3599198,1944305,1116453,1044766,727627,297185,21690,171,4,2
역촌,16,24998,80708,199218,275432,140631,99772,97175,108377,113311,106758,110562,128471,161518,241612,191991,105730,99927,82892,55808,4750,20,0,0
연수,25,33413,84971,192428,237222,130403,108219,115317,128908,138285,132019,141814,161422,201041,277242,173566,132383,119849,92626,62175,11689,0,4,0
연신내,3296,318238,688106,1724613,2164691,1368263,1008453,953462,1024173,1066321,1057987,1156014,1310124,1521236,2085014,1821764,1109538,1023241,851870,519900,63930,248,10,0
염창,134,126350,324022,875810,1120554,585257,365484,330565,372849,376580,357804,393971,444532,655057,1017561,826441,521122,444360,389179,249311,24744,2517,1,0
영등포,48414,268217,429972,1060874,1952495,1399368,1075580,1118849,1227674,1360445,1379953,1495312,1665183,2025194,2899705,1837022,1464036,1154401,864098,395008,34226,39,4,0
영등포구청,418,112908,326676,976828,2231801,1100906,620488,577656,602038,661281,657158,693605,782301,1097768,2081791,1001192,624930,582948,460633,242715,25374,367,7,0
영등포시장,34,38672,121704,334200,675903,354382,235670,236867,253172,290631,281437,290358,320080,412182,648069,349121,217884,191943,149324,76961,5334,34,1,0
영종,59,25288,81160,137673,125206,85711,70953,79024,85246,80605,82732,88908,93138,117927,128182,132202,90665,81063,68674,47859,22229,9,0,0
영통,992,35331,113756,257115,410294,271894,184337,194458,219607,242022,234537,250722,293918,386341,499856,348734,251427,248624,226772,116494,19638,8,0,0
오금,125,54588,157506,513612,796454,361968,225178,200668,227531,235546,221801,246824,283315,397334,614173,360955,240630,205886,186494,97767,24238,51,5,0
